_id,percorso,num,id_ferm
1,100067,19,911
2,100046,5,911
3,100051,10,931
4,100089,7,961
5,100050,16,926
6,100160,11,986
7,100002,26,902
8,100013,7,939
9,100033,16,967
10,100073,30,999
11,100074,21,956
12,100052,9,944
13,100066,15,931
14,100043,16,968
15,100052,15,940
16,100067,8,946
17,100052,13,975
18,100082,4,966
19,100095,10,965
20,100048,13,982
21,100013,2,901
22,100053,30,980
23,100033,24,993
24,100034,5,921
25,100043,10,929
26,100080,3,954
27,100163,17,872
28,100052,6,911
29,100102,8,946
30,100095,23,910
31,100023,14,943
32,100082,13,916
33,100048,20,978
34,100043,8,943
35,100046,10,956
36,100081,7,900
37,100164,13,878
38,100013,8,996
39,100023,13,918
40,100030,18,909
41,100082,5,988
42,100160,14,980
43,100013,26,893
44,100045,4,919
45,100089,17,992
46,100035,26,896
47,100073,8,974
48,100059,11,956
49,100047,2,958
50,100002,10,985
51,100033,15,960
52,100050,3,958
53,100082,3,922
54,100067,9,926
55,100035,24,917
56,100023,18,898
57,100030,16,967
58,100095,17,975
59,100013,15,960
60,100047,3,913
61,100060,5,946
62,100160,3,973
63,100081,14,964
64,100064,6,984
65,100047,17,897
66,100043,2,921
67,100023,6,968
68,100052,14,982
69,100047,11,953
70,100030,1,915
71,100082,17,937
72,100066,12,975
73,100084,4,983
74,100013,12,985
75,100035,3,903
76,100053,10,931
77,100053,27,986
78,100033,20,930
79,100033,19,968
80,100030,8,917
81,100060,14,984
82,100095,7,979
83,100046,8,944
84,100073,2,980
85,100159,4,965
86,100002,21,898
87,100073,17,940
88,100047,18,973
89,100163,2,887
90,100066,5,965
91,100074,19,975
92,100060,6,926
93,100162,2,946
94,100023,5,930
95,100159,5,978
96,100043,19,996
97,100050,8,984
98,100046,7,984
99,100073,22,931
100,100066,4,978
101,100013,19,943
102,100060,7,940
103,100164,3,876
104,100052,21,978
105,100045,7,984
106,100060,10,953
107,100077,1,952
108,100067,18,910
109,100053,28,894
110,100158,15,946
111,100043,25,901
112,100074,1,954
113,100095,18,953
114,100035,9,928
115,100050,19,973
116,100095,25,919
117,100033,23,957
118,100034,16,967
119,100048,16,946
120,100067,7,897
121,100067,21,913
122,100051,5,919
123,100033,5,921
124,100045,8,944
125,100059,2,965
126,100023,17,912
127,100060,13,944
128,100030,13,968
129,100073,25,910
130,100081,2,997
131,100023,21,893
132,100045,14,940
133,100060,9,975
134,100053,11,956
135,100102,7,897
136,100160,8,974
137,100073,24,984
138,100077,26,913
139,100023,4,987
140,100073,9,979
141,100159,8,971
142,100084,11,976
143,100163,7,882
144,100164,15,882
145,100030,26,951
146,100035,14,909
147,100064,11,958
148,100064,4,931
149,100034,15,960
150,100095,11,973
151,100045,15,926
152,100158,1,954
153,100074,15,946
154,100081,17,988
155,100023,20,921
156,100163,10,879
157,100081,16,942
158,100046,4,919
159,100043,11,909
160,100035,2,902
161,100081,11,933
162,100051,11,956
163,100002,6,963
164,100033,26,949
165,100158,10,892
166,100163,9,878
167,100053,5,919
168,100002,20,912
169,100084,16,938
170,100013,25,921
171,100081,5,937
172,100047,12,975
173,100045,10,956
174,100043,13,967
175,100034,20,930
176,100095,6,974
177,100064,2,953
178,100066,11,982
179,100077,15,940
180,100084,3,992
181,100084,18,907
182,100067,13,953
183,100095,12,897
184,100034,22,996
185,100052,1,995
186,100043,1,893
187,100034,29,934
188,100073,7,895
189,100030,31,904
190,100042,4,898
191,100047,22,972
192,100048,25,977
193,100034,19,968
194,100064,1,975
195,100023,24,904
196,100074,23,944
197,100077,14,926
198,100042,9,918
199,100074,10,892
200,100045,5,911
201,100163,8,909
202,100073,4,894
203,100095,3,986
204,100030,20,918
205,100164,7,870
206,100163,15,870
207,100048,24,895
208,100059,3,973
209,100077,22,984
210,100023,11,909
211,100164,14,909
212,100013,1,934
213,100034,17,981
214,100053,20,965
215,100002,12,967
216,100043,9,918
217,100067,6,973
218,100047,21,970
219,100089,18,925
220,100034,6,951
221,100052,19,973
222,100043,4,898
223,100002,3,920
224,100035,10,941
225,100053,4,913
226,100082,12,899
227,100048,10,956
228,100074,5,986
229,100158,6,977
230,100042,20,957
231,100050,21,978
232,100077,21,944
233,100042,1,893
234,100047,19,965
235,100102,6,973
236,100030,11,987
237,100059,15,910
238,100034,23,939
239,100030,19,929
240,100013,28,902
241,100023,10,960
242,100074,6,977
243,100060,21,995
244,100158,5,986
245,100042,13,967
246,100059,18,913
247,100053,2,994
248,100081,20,914
249,100089,11,956
250,100023,2,939
251,100048,5,911
252,100060,12,931
253,100081,8,975
254,100067,10,940
255,100058,2,954
256,100042,11,909
257,100164,10,874
258,100033,18,985
259,100035,7,898
260,100077,16,982
261,100095,20,931
262,100013,4,896
263,100048,30,954
264,100163,11,880
265,100043,24,989
266,100082,10,959
267,100048,7,984
268,100053,17,946
269,100074,16,926
270,100013,10,930
271,100065,10,913
272,100095,16,982
273,100035,25,945
274,100074,20,953
275,100042,22,920
276,100051,4,913
277,100060,1,978
278,100089,15,947
279,100162,1,926
280,100164,11,880
281,100053,16,926
282,100082,21,969
283,100035,4,893
284,100067,23,994
285,100045,9,931
286,100073,21,956
287,100030,10,996
288,100034,21,987
289,100045,16,946
290,100158,13,973
291,100064,12,999
292,100089,4,938
293,100095,29,995
294,100034,13,929
295,100048,28,952
296,100077,28,999
297,100035,12,918
298,100048,8,944
299,100023,22,903
300,100042,18,891
301,100082,18,962
302,100035,1,904
303,100066,2,972
304,100084,2,925
305,100064,3,956
306,100164,20,887
307,100048,14,940
308,100034,1,904
309,100073,29,958
310,100051,8,984
311,100065,5,944
312,100089,5,923
313,100052,7,910
314,100095,21,944
315,100084,14,889
316,100035,13,929
317,100067,11,982
318,100013,22,912
319,100033,25,920
320,100081,6,890
321,100034,12,918
322,100066,13,953
323,100073,28,913
324,100052,18,897
325,100067,14,956
326,100074,13,973
327,100034,4,893
328,100047,1,999
329,100164,18,885
330,100159,1,946
331,100053,3,958
332,100065,9,919
333,100159,2,897
334,100030,3,934
335,100164,12,879
336,100051,2,994
337,100081,19,922
338,100035,21,987
339,100048,15,926
340,100047,9,931
341,100074,31,995
342,100043,7,941
343,100038,1,903
344,100047,16,946
345,100050,1,995
346,100164,4,875
347,100002,7,891
348,100034,25,945
349,100074,8,974
350,100095,22,984
351,100034,11,943
352,100034,27,989
353,100158,4,894
354,100013,21,928
355,100033,17,981
356,100089,12,948
357,100073,11,978
358,100013,6,917
359,100050,6,911
360,100050,5,919
361,100002,17,943
362,100059,4,897
363,100074,27,919
364,100073,3,952
365,100030,17,960
366,100066,22,958
367,100060,4,897
368,100095,5,895
369,100033,7,898
370,100035,18,985
371,100070,2,994
372,100050,9,944
373,100043,21,917
374,100160,6,892
375,100030,27,921
376,100048,26,986
377,100070,1,958
378,100052,17,946
379,100050,13,975
380,100077,19,956
381,100082,1,908
382,100043,6,928
383,100050,15,940
384,100077,9,978
385,100095,4,977
386,100082,19,998
387,100033,6,951
388,100048,18,973
389,100053,29,952
390,100035,8,912
391,100052,16,926
392,100053,22,892
393,100089,6,889
394,100158,7,895
395,100158,12,965
396,100038,2,902
397,100065,7,910
398,100030,2,927
399,100074,7,895
400,100074,12,965
401,100077,8,892
402,100077,13,946
403,100033,10,941
404,100053,24,974
405,100002,22,951
406,100052,3,958
407,100048,11,953
408,100164,19,886
409,100081,18,966
410,100034,8,912
411,100013,3,989
412,100077,2,894
413,100023,19,951
414,100077,27,958
415,100030,25,898
416,100066,20,919
417,100081,12,959
418,100066,23,999
419,100073,10,892
420,100048,3,913
421,100074,26,911
422,100046,1,999
423,100059,19,958
424,100066,19,911
425,100160,9,895
426,100164,5,872
427,100053,7,910
428,100013,5,945
429,100034,18,985
430,100073,23,944
431,100042,2,921
432,100051,12,953
433,100002,19,928
434,100163,14,873
435,100053,18,897
436,100048,17,897
437,100060,19,958
438,100067,15,931
439,100002,8,930
440,100035,11,943
441,100035,27,989
442,100046,9,931
443,100084,12,955
444,100064,8,911
445,100030,24,912
446,100073,18,982
447,100074,4,894
448,100030,6,896
449,100066,8,946
450,100095,24,911
451,100060,17,919
452,100081,15,924
453,100052,4,913
454,100013,14,967
455,100043,20,939
456,100053,31,954
457,100066,17,984
458,100160,4,965
459,100002,14,909
460,100042,23,949
461,100053,19,973
462,100067,3,970
463,100074,14,897
464,100077,24,911
465,100064,9,919
466,100084,13,961
467,100102,1,971
468,100023,16,928
469,100067,4,978
470,100164,21,888
471,100030,9,939
472,100034,28,901
473,100050,14,982
474,100059,17,919
475,100084,5,947
476,100084,8,948
477,100163,3,886
478,100048,27,894
479,100048,2,958
480,100073,1,954
481,100053,25,895
482,100053,23,979
483,100102,5,965
484,100045,6,910
485,100045,13,982
486,100030,21,943
487,100050,11,956
488,100095,2,894
489,100095,27,958
490,100160,5,978
491,100030,7,945
492,100067,24,995
493,100082,16,890
494,100164,9,877
495,100164,17,884
496,100047,20,978
497,100067,16,944
498,100081,1,969
499,100059,8,982
500,100102,3,970
501,100067,1,971
502,100089,16,983
503,100023,3,996
504,100033,13,929
505,100095,8,892
506,100095,13,946
507,100160,12,894
508,100102,4,978
509,100042,8,943
510,100052,20,965
511,100060,8,982
512,100074,25,910
513,100013,16,909
514,100064,5,944
515,100158,9,979
516,100043,26,934
517,100067,5,965
518,100074,9,979
519,100065,3,956
520,100084,15,923
521,100163,4,885
522,100042,10,929
523,100045,20,978
524,100047,6,910
525,100047,13,982
526,100059,20,999
527,100033,12,918
528,100042,17,930
529,100074,24,984
530,100081,9,916
531,100023,1,917
532,100051,7,910
533,100082,9,935
534,100159,3,973
535,100035,31,915
536,100048,21,892
537,100033,1,904
538,100067,12,975
539,100163,18,875
540,100082,11,933
541,100002,24,893
542,100002,9,968
543,100052,8,984
544,100053,12,953
545,100095,19,956
546,100077,4,977
547,100082,14,975
548,100095,9,978
549,100060,16,911
550,100035,28,901
551,100042,14,981
552,100066,9,926
553,100089,8,955
554,100030,29,903
555,100043,18,987
556,100084,19,906
557,100160,7,979
558,100080,2,980
559,100042,16,968
560,100048,4,919
561,100077,5,895
562,100023,9,967
563,100160,13,952
564,100164,1,881
565,100158,14,897
566,100033,4,893
567,100052,2,994
568,100064,10,913
569,100081,10,899
570,100059,16,911
571,100042,3,951
572,100073,15,946
573,100073,20,953
574,100034,26,896
575,100047,4,919
576,100073,16,926
577,100082,6,942
578,100043,3,951
579,100030,5,989
580,100043,14,981
581,100065,11,958
582,100002,4,993
583,100045,2,958
584,100050,17,946
585,100065,4,931
586,100023,12,929
587,100046,12,975
588,100163,19,876
589,100048,6,910
590,100074,30,994
591,100077,7,979
592,100033,14,909
593,100052,5,919
594,100067,20,919
595,100043,17,930
596,100013,23,898
597,100084,6,936
598,100164,2,871
599,100035,5,921
600,100074,29,958
601,100043,22,945
602,100074,28,913
603,100089,10,932
604,100081,13,935
605,100060,11,956
606,100043,28,915
607,100030,15,981
608,100030,4,901
609,100023,8,981
610,100073,13,973
611,100053,1,995
612,100033,9,928
613,100067,22,958
614,100077,17,975
615,100161,1,946
616,100160,10,977
617,100059,5,946
618,100050,20,965
619,100013,27,903
620,100164,8,873
621,100052,11,956
622,100084,1,991
623,100163,21,881
624,100065,1,975
625,100073,5,986
626,100053,21,978
627,100030,23,928
628,100052,22,970
629,100052,23,972
630,100045,18,973
631,100080,1,952
632,100053,26,977
633,100048,22,979
634,100050,4,913
635,100034,3,903
636,100050,2,994
637,100073,6,977
638,100065,2,953
639,100066,16,944
640,100077,23,910
641,100084,17,905
642,100045,11,953
643,100002,1,990
644,100035,30,927
645,100077,10,965
646,100059,14,984
647,100066,1,971
648,100051,1,995
649,100042,6,928
650,100043,23,896
651,100163,1,888
652,100033,2,902
653,100045,3,913
654,100067,17,984
655,100066,3,970
656,100059,7,940
657,100095,28,994
658,100034,24,917
659,100038,3,904
660,100045,17,897
661,100059,6,926
662,100163,5,884
663,100043,27,927
664,100013,9,987
665,100042,21,993
666,100047,15,926
667,100073,14,897
668,100013,18,918
669,100051,13,975
670,100042,7,941
671,100077,3,986
672,100030,22,941
673,100046,3,913
674,100048,1,999
675,100051,9,944
676,100053,14,982
677,100059,10,953
678,100082,20,997
679,100089,3,905
680,100066,10,940
681,100095,14,926
682,100052,10,931
683,100035,15,960
684,100048,9,931
685,100013,29,904
686,100030,28,893
687,100089,2,907
688,100058,1,980
689,100046,11,953
690,100051,6,911
691,100059,13,944
692,100082,8,964
693,100002,25,903
694,100033,21,891
695,100059,9,975
696,100034,14,909
697,100042,24,990
698,100060,2,965
699,100047,8,944
700,100050,12,953
701,100095,15,940
702,100065,12,994
703,100002,18,941
704,100077,12,897
705,100163,16,869
706,100047,14,940
707,100002,27,904
708,100077,6,974
709,100034,9,928
710,100002,2,949
711,100047,7,984
712,100047,23,971
713,100035,16,967
714,100060,20,994
715,100084,9,956
716,100030,12,930
717,100089,19,991
718,100013,20,941
719,100023,15,941
720,100065,13,995
721,100066,6,973
722,100073,27,919
723,100002,23,921
724,100047,5,911
725,100066,14,956
726,100074,11,978
727,100048,29,980
728,100042,15,985
729,100053,6,911
730,100077,11,973
731,100074,3,952
732,100035,19,968
733,100081,3,998
734,100160,1,946
735,100160,2,897
736,100042,12,960
737,100070,3,995
738,100089,14,936
739,100095,26,913
740,100053,13,975
741,100035,22,996
742,100048,23,974
743,100053,15,940
744,100002,5,957
745,100035,29,934
746,100053,9,944
747,100163,6,883
748,100047,10,956
749,100160,15,954
750,100082,7,924
751,100045,12,975
752,100073,12,965
753,100067,2,972
754,100048,19,965
755,100033,3,903
756,100035,20,930
757,100002,16,918
758,100013,24,951
759,100052,24,971
760,100023,23,902
761,100081,4,962
762,100065,6,984
763,100158,3,952
764,100023,7,985
765,100077,18,953
766,100077,25,919
767,100163,12,874
768,100043,5,912
769,100050,18,897
770,100002,13,960
771,100073,26,911
772,100089,13,890
773,100074,18,982
774,100033,22,963
775,100034,2,902
776,100046,2,958
777,100084,10,932
778,100102,2,972
779,100095,1,952
780,100158,11,978
781,100050,7,910
782,100065,8,911
783,100089,1,906
784,100082,15,900
785,100034,7,898
786,100161,2,926
787,100081,21,908
788,100030,30,902
789,100033,11,943
790,100030,14,985
791,100042,5,912
792,100060,3,973
793,100002,11,981
794,100013,11,968
795,100002,15,929
796,100159,7,972
797,100163,20,871
798,100060,15,910
799,100050,10,931
800,100035,23,939
801,100013,13,981
802,100064,7,910
803,100158,2,980
804,100042,19,963
805,100074,17,940
806,100074,2,980
807,100089,9,976
808,100159,6,970
809,100048,12,975
810,100046,6,910
811,100060,18,913
812,100033,27,990
813,100045,19,965
814,100051,3,958
815,100073,19,975
816,100034,10,941
817,100035,6,951
818,100033,8,912
819,100043,12,960
820,100074,22,931
821,100035,17,981
822,100043,15,985
823,100163,13,877
824,100066,18,910
825,100077,20,931
826,100082,2,914
827,100164,6,869
828,100052,12,953
829,100053,8,984
830,100084,7,890
831,100066,7,897
832,100066,21,913
833,100059,12,931
834,100013,17,929
835,100158,8,974
836,100164,16,883
837,100059,1,978
838,100045,1,999
